,category,rating,label,text_
60,Home_and_Kitchen_5,5.0,OR,great cup last forever keep thing cool warm
61,Home_and_Kitchen_5,5.0,OR,love thought would bit bigger
62,Home_and_Kitchen_5,5.0,OR,excel qualiti product perfect ccozinha
63,Home_and_Kitchen_5,5.0,OR,thi fan realli pretti actual use
64,Home_and_Kitchen_5,1.0,OR,super rough soft wash cloth like bar towel
65,Home_and_Kitchen_5,5.0,OR,like thi littl guy use often small
66,Home_and_Kitchen_5,5.0,OR,perfect size .easi unfold topremov storage love
67,Home_and_Kitchen_5,1.0,OR,doe veri good job difficult use
68,Home_and_Kitchen_5,5.0,OR,frame wa beauti craft look great picture
69,Home_and_Kitchen_5,5.0,OR,hot cocoa final perfect thi product fabul
70,Home_and_Kitchen_5,5.0,OR,bought thi friend love
71,Home_and_Kitchen_5,5.0,OR,veri soft great qualiti low price
72,Home_and_Kitchen_5,5.0,OR,purchas christma gift love
73,Home_and_Kitchen_5,5.0,OR,accur description work great came time 'm veri happy
74,Home_and_Kitchen_5,5.0,OR,use duvet cover fluffi perfect fit
75,Home_and_Kitchen_5,5.0,OR,one softest blanket ever nice cozy
76,Home_and_Kitchen_5,5.0,OR,smell great fine mist dri quickly favorite
77,Home_and_Kitchen_5,5.0,OR,exactli wa expecting perfect curtain bedroom
78,Home_and_Kitchen_5,4.0,OR,want hang pant skirt
79,Home_and_Kitchen_5,3.0,OR,kind small look someth larger
80,Home_and_Kitchen_5,4.0,OR,littl pricey
81,Home_and_Kitchen_5,5.0,OR,work great charg kept day long
82,Home_and_Kitchen_5,5.0,OR,thi nice qualiti frame good price
83,Home_and_Kitchen_5,3.0,OR,doe job noth special hard install
84,Home_and_Kitchen_5,5.0,OR,item describ arriv time manner
85,Home_and_Kitchen_5,3.0,OR,bought sent one back becaus n't work
86,Home_and_Kitchen_5,5.0,OR,made well hold make brush pencil mascara etc
87,Home_and_Kitchen_5,1.0,OR,shed would buy ever blanket
88,Home_and_Kitchen_5,5.0,OR,work great pyrex 'd expect noth le
89,Home_and_Kitchen_5,5.0,OR,like thi littl opener real easi hand
90,Home_and_Kitchen_5,5.0,OR,perfect love everyth look great kitchen
91,Home_and_Kitchen_5,5.0,OR,air tight work great glad got
92,Home_and_Kitchen_5,5.0,OR,veri cute good qualiti fabric zipper work well
93,Home_and_Kitchen_5,5.0,OR,great send grandkid halloween treat
94,Home_and_Kitchen_5,5.0,OR,save ton use instead paper towel
95,Home_and_Kitchen_5,2.0,OR,weak bare bring ani air
96,Home_and_Kitchen_5,5.0,OR,great set glass good quality comfort handle
97,Home_and_Kitchen_5,4.0,OR,feel cool touch super hard
98,Home_and_Kitchen_5,5.0,OR,cute made well grand daughter love
